"osm_id,N,10,0","amenity,C,254","z_order,N,10,0","Cood_X,C,50","Coord_Y,C,50"
1105812373,      telephone,0,"3,80211429947074","43,6468868960461"
292926213,      telephone,0,"3,81996719946826","43,632482296047"
292926215,      telephone,0,"3,82040789946819","43,6343915960469"
500953872,      telephone,0,"3,84453689946483","43,6044858960485"
775116481,      telephone,0,"3,84988109946409","43,6387161960466"
248094657,      telephone,0,"3,86122509946251","43,6171711960478"
248094269,      telephone,0,"3,86381719946215","43,6198119960477"
251353924,      telephone,0,"3,86510909946197","43,614291696048"
248094832,      telephone,0,"3,86529349946194","43,6197249960477"
1404462938,      telephone,0,"3,86738549946166","43,6208015960476"
1404462937,      telephone,0,"3,86788509946158","43,6228111960475"
126667668,      telephone,0,"3,86817859946154","43,6228840960474"
126674137,      telephone,0,"3,86921889946139","43,6236435960475"
105440562,      telephone,0,"3,87040309946123","43,6300687960471"
105440565,      telephone,0,"3,8706362994612","43,6305642960471"
1368901090,      telephone,0,"3,87193459946102","43,6234907960474"
105440532,      telephone,0,"3,87230959946097","43,6289058960471"
105440528,      telephone,0,"3,87308569946086","43,6270613960473"
105440522,      telephone,0,"3,87525859946056","43,6270294960472"
105440517,      telephone,0,"3,87528789946056","43,6268059960473"
105964249,      telephone,0,"3,8771389994603","43,6218103960476"
76856395,      telephone,0,"3,87725169946028","43,6262046960473"
348425221,      telephone,0,"3,87920829946001","43,6004753960488"
579739334,      telephone,0,"3,88117949945973","43,6156160960479"
1575490015,      telephone,0,"3,88145719945969","43,6282078960472"
1252168854,      telephone,0,"3,88175509945966","43,6095859960482"
348423544,      telephone,0,"3,88269299945952","43,597162396049"
281766511,      telephone,0,"3,88692299945893","43,6078041960483"
148704879,      telephone,0,"3,88740279945886","43,6210030960476"
281265155,      telephone,0,"3,88753709945885","43,6001458960488"
281766380,      telephone,0,"3,88844809945873","43,6072482960484"
281008666,      telephone,0,"3,88876199945868","43,6089765960483"
282723686,      telephone,0,"3,88964369945855","43,6089236960483"
281766348,      telephone,0,"3,88965459945856","43,6080122960483"
280698655,      telephone,0,"3,89022959945847","43,6069315960484"
267847352,      telephone,0,"3,893658299458","43,6094990960483"
1575650269,      telephone,0,"3,89386869945797","43,6078498960483"
280973062,      telephone,0,"3,9058225994563","43,6126537960481"
281001400,      telephone,0,"3,92774489945326","43,5832063960498"
282323321,      telephone,0,"3,92776439945325","43,5826011960498"
282323173,      telephone,0,"3,93022779945291","43,5821099960498"
