nom du dossier,Superficie bien vendu,Désignation du bien,Surface utile,Montant mise en vente,Vendeurs,Acquéreurs,Dates,Quartiers,CODES,Cod acteurs,,code date,Code cadastre
IA,600,Villa,"203,32",400000,Particulier,Particulier,15/01/2009,CE -Alco,Villa,Particuli,Particuli,1,CE -Alco
IA,,Appartement et annexes,"60,98",84000,Particulier,Particulier,07/01/2009,CE -Alco,Apparteme,Particuli,Particuli,1,CE -Alco
IA,,Appartement et annexes,"73,23",125000,Particulier,Particulier,05/01/2009,PA -Saint Martin,Apparteme,Particuli,Particuli,1,PA -Saint 
IA,77,Immeuble,200,200000,Entreprise industrielle ou commerciale (EPIC),SCI,09/01/2009,MC -Figuerolles,Immeuble,Entrepris,SCI,1,MC -Figuer
IA,,Appartement,"116,23",290000,Particulier,,05/01/2009,MC -Boutonnet,Apparteme,Particuli,,1,MC -Bouton
IA,177,Maison,"69,83",260000,Particulier,Particulier,05/01/2009,MC -Gambetta,Maison,Particuli,Particuli,1,MC -Gambet
IA,,Appartement et annexes,"80,2",230000,SCI,Particulier,27/01/2009,MC -Comédie,Apparteme,SCI,Particuli,1,MC -Comédi
IA,,Local ,"10,58",12500,,Particulier,19/01/2009,MC -Centre Historique,Local ,,Particuli,1,MC -Centre
IA,,Local ,"85,3",298000,SCI,Particulier,14/01/2009,PM -Port Marianne,Local ,SCI,Particuli,1,PM -Port M
IA,,Appartement et annexes,"20,35",52380,Particulier,Particulier,14/01/2009,HF -Hopitaux Facultés,Apparteme,Particuli,Particuli,1,HF -Hopita
IA,,Appartement et annexes,"19,14",50000,SACI-SCCV,Particulier,19/01/2009,PA -Aiguerelles,Apparteme,SACI-SCCV,Particuli,1,PA -Aiguer
IA,,Appartement et annexes,"72,02",97000,Particulier,Particulier,19/01/2009,CA -Lemasson,Apparteme,Particuli,Particuli,1,CA -Lemass
IA,,Garage,,20000,Particulier,Particulier,08/01/2009,MC -Antigone,Garage,Particuli,Particuli,1,MC -Antigo
IA,,Appartements 2 et +,"71,48",220000,Particulier,,09/01/2009,MC -Les Arceaux,Apparteme,Particuli,,1,MC -Les Ar
IA,,Appartement,64,42000,Particulier,Particulier,09/01/2009,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Appartement,"30,2",110000,Particulier,Particulier,09/01/2009,MC -Gambetta,Apparteme,Particuli,Particuli,1,MC -Gambet
IA,,Appartement,"75,91",145000,Particulier,,09/01/2009,MC -Gares,Apparteme,Particuli,,1,MC -Gares
IA,,Appartement et annexes,"71,54",143000,Particulier,Particulier,07/01/2009,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Appartement et annexes,"71,57",130000,Particulier,Particulier,08/01/2009,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement,"32,65",33250,SCI,SEM,08/01/2009,MC -Gambetta,Apparteme,SCI,SEM,1,MC -Gambet
IA,,Appartement et annexes,"107,5",285000,Particulier,Particulier,08/01/2009,MC -Antigone,Apparteme,Particuli,Particuli,1,MC -Antigo
IA,,Appartement et annexes,"56,17",90000,Particulier,Particulier,08/01/2009,MC -Gares,Apparteme,Particuli,Particuli,1,MC -Gares
IA,,Appartement et annexes,"58,5",133500,Particulier,Particulier,05/01/2009,MC -Gambetta,Apparteme,Particuli,Particuli,1,MC -Gambet
IA,,Garage,60,69000,Particulier,Particulier,05/01/2009,MC -Gambetta,Garage,Particuli,Particuli,1,MC -Gambet
IA,,Appartement et annexes,"97,48",280000,Particulier,Particulier,05/01/2009,MC -Antigone,Apparteme,Particuli,Particuli,1,MC -Antigo
IA,,Appartement et annexes,"66,75",167000,Particulier,Particulier,05/01/2009,MC -Boutonnet,Apparteme,Particuli,Particuli,1,MC -Bouton
IA,,Appartement,"154,99",380000,SCI,Particulier,05/01/2009,MC -Gares,Apparteme,SCI,Particuli,1,MC -Gares
IA,,Appartement et annexes,"60,78",125000,Particulier,SCI,05/01/2009,MC -Boutonnet,Apparteme,Particuli,SCI,1,MC -Bouton
IA,,Appartement et annexes,"43,45",120000,Particulier,Particulier,05/01/2009,MC -Antigone,Apparteme,Particuli,Particuli,1,MC -Antigo
IA,,Appartement,"22,74",41000,Particulier,Particulier,05/01/2009,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement et annexes,"18,34",60000,Particulier,Particulier,06/01/2009,MC -Les Beaux Arts,Apparteme,Particuli,Particuli,1,MC -Les Be
IA,,Appartement et annexes,"55,3",134000,Particulier,Particulier,07/01/2009,MC -Les Arceaux,Apparteme,Particuli,Particuli,1,MC -Les Ar
IA,825,Terrain,,240000,Particulier,Particulier,05/01/2009,PM -Port Marianne,Terrain,Particuli,Particuli,1,PM -Port M
IA,2278,Terrain,,"457892,76",SEM,Constructeur,05/01/2009,,Terrain,SEM,Construct,1,
IA,,Garage,,13000,Particulier,Particulier,07/01/2009,HF -Hopitaux Facultés,Garage,Particuli,Particuli,1,HF -Hopita
IA,,Appartement et annexes,"45,5",100000,Particulier,Particulier,07/01/2009,HF -Aiguelongue,Apparteme,Particuli,Particuli,1,HF -Aiguel
