Exercice;I_F;D_R;Nature;Sous-fontion;Montant;Libellé nature;Libellé fonction;
2012;F;01;023;;23943003,00;VIREMENT A LA SECTION D'INVESTISSEMENT;
2012;F;01;6042;020;340200,00;ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;01;6042;211;51500,00;ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;ECOLES MATERNELLES
2012;F;01;6042;212;151470,00;ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;ECOLES PRIMAIRES
2012;F;01;6042;40;512040,00;ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;SERVICES COMMUNS
2012;F;01;6042;421;229241,00;ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;CENTRES DE LOISIRS
2012;F;01;6042;422;73000,00;ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;AUTRES ACTIVITES POUR LES JEUNES
2012;F;01;6042;64;2096550,00;ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;CRECHES ET GARDERIES
2012;F;01;60611;020;859650,00;EAU ET ASSAINISSSEMENT;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;01;60611;026;18050,00;EAU ET ASSAINISSSEMENT;CIMETIERES ET POMPES FUNEBRES
2012;F;01;60611;412;18620,00;EAU ET ASSAINISSSEMENT;STADES
2012;F;01;60611;813;110000,00;EAU ET ASSAINISSSEMENT;PROPRETE URBAINE
2012;F;01;60611;816;170000,00;EAU ET ASSAINISSSEMENT;AUTRES RESEAUX ET SERVICES DIVERS
2012;F;01;60611;823;551000,00;EAU ET ASSAINISSSEMENT;ESPACES VERTS URBAINS
2012;F;01;60612;020;830300,00;ENERGIE ET ELECTRICITE;ADMINISTRATION GENERALE DE LA COLLECTIVITE
2012;F;01;60612;024;12833,00;ENERGIE ET ELECTRICITE;FETES ET CEREMONIES
2012;F;01;60612;026;8300,00;ENERGIE ET ELECTRICITE;CIMETIERES ET POMPES FUNEBRES
2012;F;01;60612;211;1066100,00;ENERGIE ET ELECTRICITE;ECOLES MATERNELLES
2012;F;01;60612;251;105700,00;ENERGIE ET ELECTRICITE;HEBERGEMENT ET RESTAURATION SCOLAIRE
2012;F;01;60612;30;103500,00;ENERGIE ET ELECTRICITE;SERVICES COMMUNS
2012;F;01;60612;412;509400,00;ENERGIE ET ELECTRICITE;STADES
